,date,county,state,fips,cases,deaths
95701,2020-04-28,Fairfield,Connecticut,09001,10874,747
95702,2020-04-28,Hartford,Connecticut,09003,5224,643
95703,2020-04-28,Litchfield,Connecticut,09005,900,76
95704,2020-04-28,Middlesex,Connecticut,09007,618,70
95705,2020-04-28,New Haven,Connecticut,09009,7089,478
95706,2020-04-28,New London,Connecticut,09011,530,34
95707,2020-04-28,Tolland,Connecticut,09013,422,35
95709,2020-04-28,Windham,Connecticut,09015,164,4
95710,2020-04-28,Kent,Delaware,10001,728,23
95711,2020-04-28,New Castle,Delaware,10003,1701,63
95712,2020-04-28,Sussex,Delaware,10005,2114,51
95714,2020-04-28,District of Columbia,District of Columbia,11001,3994,190
96509,2020-04-28,Androscoggin,Maine,23001,42,2
96510,2020-04-28,Aroostook,Maine,23003,5,0
96511,2020-04-28,Cumberland,Maine,23005,466,24
96512,2020-04-28,Franklin,Maine,23007,27,1
96513,2020-04-28,Hancock,Maine,23009,10,0
96514,2020-04-28,Kennebec,Maine,23011,103,6
96515,2020-04-28,Knox,Maine,23013,15,0
96516,2020-04-28,Lincoln,Maine,23015,12,0
96517,2020-04-28,Oxford,Maine,23017,15,0
96518,2020-04-28,Penobscot,Maine,23019,57,0
96519,2020-04-28,Piscataquis,Maine,23021,1,0
96520,2020-04-28,Sagadahoc,Maine,23023,18,0
96521,2020-04-28,Somerset,Maine,23025,18,0
96523,2020-04-28,Waldo,Maine,23027,48,11
96524,2020-04-28,Washington,Maine,23029,2,0
96525,2020-04-28,York,Maine,23031,200,7
96526,2020-04-28,Allegany,Maryland,24001,115,5
96527,2020-04-28,Anne Arundel,Maryland,24003,1571,70
96528,2020-04-28,Baltimore,Maryland,24005,2631,94
96529,2020-04-28,Baltimore city,Maryland,24510,1977,83
96530,2020-04-28,Calvert,Maryland,24009,139,8
96531,2020-04-28,Caroline,Maryland,24011,69,0
96532,2020-04-28,Carroll,Maryland,24013,416,44
96533,2020-04-28,Cecil,Maryland,24015,163,6
96534,2020-04-28,Charles,Maryland,24017,539,38
96535,2020-04-28,Dorchester,Maryland,24019,52,2
96536,2020-04-28,Frederick,Maryland,24021,870,42
96537,2020-04-28,Garrett,Maryland,24023,4,0
96538,2020-04-28,Harford,Maryland,24025,358,6
96539,2020-04-28,Howard,Maryland,24027,802,17
96540,2020-04-28,Kent,Maryland,24029,73,4
96541,2020-04-28,Montgomery,Maryland,24031,4003,201
96542,2020-04-28,Prince George's,Maryland,24033,5496,195
96543,2020-04-28,Queen Anne's,Maryland,24035,55,4
96544,2020-04-28,Somerset,Maryland,24039,20,0
96545,2020-04-28,St. Mary's,Maryland,24037,145,7
96546,2020-04-28,Talbot,Maryland,24041,34,1
96548,2020-04-28,Washington,Maryland,24043,187,3
96549,2020-04-28,Wicomico,Maryland,24045,340,5
96550,2020-04-28,Worcester,Maryland,24047,54,1
96551,2020-04-28,Barnstable,Massachusetts,25001,820,39
96552,2020-04-28,Berkshire,Massachusetts,25003,430,31
96553,2020-04-28,Bristol,Massachusetts,25005,3270,155
96554,2020-04-28,Dukes,Massachusetts,25007,15,1
96555,2020-04-28,Essex,Massachusetts,25009,7972,383
96556,2020-04-28,Franklin,Massachusetts,25011,237,33
96557,2020-04-28,Hampden,Massachusetts,25013,3546,346
96558,2020-04-28,Hampshire,Massachusetts,25015,509,27
96559,2020-04-28,Middlesex,Massachusetts,25017,13417,731
96560,2020-04-28,Nantucket,Massachusetts,25019,11,0
96561,2020-04-28,Norfolk,Massachusetts,25021,5567,448
96562,2020-04-28,Plymouth,Massachusetts,25023,4744,256
96563,2020-04-28,Suffolk,Massachusetts,25025,12140,469
96565,2020-04-28,Worcester,Massachusetts,25027,4999,229
97007,2020-04-28,Belknap,New Hampshire,33001,34,0
97008,2020-04-28,Carroll,New Hampshire,33003,31,0
97009,2020-04-28,Cheshire,New Hampshire,33005,40,2
97010,2020-04-28,Coos,New Hampshire,33007,2,0
97011,2020-04-28,Grafton,New Hampshire,33009,48,0
97012,2020-04-28,Hillsborough,New Hampshire,33011,896,31
97013,2020-04-28,Merrimack,New Hampshire,33013,144,3
97014,2020-04-28,Rockingham,New Hampshire,33015,664,15
97015,2020-04-28,Strafford,New Hampshire,33017,133,7
97016,2020-04-28,Sullivan,New Hampshire,33019,11,1
97018,2020-04-28,Atlantic,New Jersey,34001,868,35
97019,2020-04-28,Bergen,New Jersey,34003,15251,1002
97020,2020-04-28,Burlington,New Jersey,34005,2543,106
97021,2020-04-28,Camden,New Jersey,34007,3285,124
97022,2020-04-28,Cape May,New Jersey,34009,299,20
97023,2020-04-28,Cumberland,New Jersey,34011,659,10
97024,2020-04-28,Essex,New Jersey,34013,13190,1090
97025,2020-04-28,Gloucester,New Jersey,34015,1179,38
97026,2020-04-28,Hudson,New Jersey,34017,14309,722
97027,2020-04-28,Hunterdon,New Jersey,34019,573,24
97028,2020-04-28,Mercer,New Jersey,34021,3605,212
97029,2020-04-28,Middlesex,New Jersey,34023,11102,515
97030,2020-04-28,Monmouth,New Jersey,34025,5826,305
97031,2020-04-28,Morris,New Jersey,34027,5128,377
97032,2020-04-28,Ocean,New Jersey,34029,6151,342
97033,2020-04-28,Passaic,New Jersey,34031,11755,475
97034,2020-04-28,Salem,New Jersey,34033,219,8
97035,2020-04-28,Somerset,New Jersey,34035,3278,242
97036,2020-04-28,Sussex,New Jersey,34037,882,97
97037,2020-04-28,Union,New Jersey,34039,12188,627
97039,2020-04-28,Warren,New Jersey,34041,848,71
97070,2020-04-28,Albany,New York,36001,1009,45
97071,2020-04-28,Allegany,New York,36003,35,0
97072,2020-04-28,Broome,New York,36007,266,15
97073,2020-04-28,Cattaraugus,New York,36009,45,1
97074,2020-04-28,Cayuga,New York,36011,48,1
97075,2020-04-28,Chautauqua,New York,36013,30,1
97076,2020-04-28,Chemung,New York,36015,113,3
97077,2020-04-28,Chenango,New York,36017,95,0
97078,2020-04-28,Clinton,New York,36019,59,4
97079,2020-04-28,Columbia,New York,36021,154,16
97080,2020-04-28,Cortland,New York,36023,28,0
97081,2020-04-28,Delaware,New York,36025,59,0
97082,2020-04-28,Dutchess,New York,36027,2817,66
97083,2020-04-28,Erie,New York,36029,3089,216
97084,2020-04-28,Essex,New York,36031,32,0
97085,2020-04-28,Franklin,New York,36033,14,0
97086,2020-04-28,Fulton,New York,36035,66,1
97087,2020-04-28,Genesee,New York,36037,149,2
97088,2020-04-28,Greene,New York,36039,112,0
97089,2020-04-28,Hamilton,New York,36041,3,0
97090,2020-04-28,Herkimer,New York,36043,58,1
97091,2020-04-28,Jefferson,New York,36045,60,0
97092,2020-04-28,Lewis,New York,36049,9,0
97093,2020-04-28,Livingston,New York,36051,65,2
97094,2020-04-28,Madison,New York,36053,126,3
97095,2020-04-28,Monroe,New York,36055,1371,91
97096,2020-04-28,Montgomery,New York,36057,49,1
97097,2020-04-28,Nassau,New York,36059,35085,2039
97098,2020-04-28,New York City,New York,36061,162348,12067
97099,2020-04-28,Niagara,New York,36063,386,11
97100,2020-04-28,Oneida,New York,36065,411,12
97101,2020-04-28,Onondaga,New York,36067,742,31
97102,2020-04-28,Ontario,New York,36069,90,3
97103,2020-04-28,Orange,New York,36071,8389,223
97104,2020-04-28,Orleans,New York,36073,80,5
97105,2020-04-28,Oswego,New York,36075,63,0
97106,2020-04-28,Otsego,New York,36077,65,5
97107,2020-04-28,Putnam,New York,36079,932,45
